member_id,name,gender,email,phone,fav_drink,birthdate,member_since,level,recent_visit,recency,frequency,monetary
1,Peewee,M,Peewee.yh@lilymail.com,0662818304,Thai Tea,1991-09-01,2022-01-01,platinum,2024-12-26 17:03:00,4.0,173.0,29305.0
2,Kao,M,Kao.ri@dahlia.com,0883374251,Green Tea,2003-04-09,2022-01-01,platinum,2024-11-20 17:33:00,40.0,179.0,27385.0
3,Boy,M,Boy.eb@carnationmail.com,0673648168,Latte,1973-04-11,2022-01-02,platinum,2024-11-07 10:37:00,53.0,165.0,28095.0
4,Nene,F,Nene.bn@carnationmail.com,0960832228,Green Tea,1992-01-16,2022-01-03,platinum,2024-12-02 15:52:00,28.0,172.0,24860.0
5,Pop,F,Pop.uo@daisymail.com,0689940148,Bubble Tea,1973-07-05,2022-01-04,platinum,2024-12-08 14:15:00,22.0,197.0,32075.0
6,Barold,M,Barold.lf@daffodilmail.com,0612901233,Bubble Tea,1991-05-12,2022-01-04,platinum,2024-01-06 18:12:00,359.0,109.0,19675.0
7,Rocco,M,Rocco.wl@carnationmail.com,0847290061,Yuzu Tea,1989-05-20,2022-01-04,platinum,2024-08-25 12:52:00,127.0,154.0,24065.0
8,Phoebe,F,Phoebe.xu@irismail.com,0827084244,Yuzu Tea,1989-04-28,2022-01-05,platinum,2024-10-30 15:04:00,61.0,164.0,27005.0
9,Keng,M,Keng.ur@sunflowermail.com,0642955514,Thai Tea,1978-09-17,2022-01-05,platinum,2024-12-19 07:07:00,11.0,181.0,27545.0
10,Pat,F,Pat.js@daffodilmail.com,0682573062,Yuzu Tea,1999-10-26,2022-01-05,platinum,2024-05-02 21:26:00,242.0,167.0,25975.0
11,Baabara,F,Baabara.bl@daffodilmail.com,0819140803,Bubble Tea,2001-08-02,2022-01-06,diamond,2024-12-20 15:12:00,10.0,207.0,33105.0
12,Bubbles,F,Bubbles.lk@tulipmail.com,0621832707,Yuzu Tea,1973-04-11,2022-01-07,platinum,2024-11-29 16:43:00,31.0,171.0,27890.0
13,Snooty,F,Snooty.kv@daffodilmail.com,0691220491,Thai Tea,1970-06-04,2022-01-07,platinum,2024-12-07 13:01:00,23.0,190.0,31000.0
14,Gift,F,Gift.bi@daisymail.com,0914533110,Bubble Tea,1996-02-17,2022-01-07,platinum,2024-12-22 20:58:00,8.0,172.0,28690.0
15,Aom,F,Aom.kd@lilymail.com,0685211053,Bubble Tea,1990-03-03,2022-01-07,platinum,2024-12-06 15:17:00,24.0,196.0,34150.0
16,Sai,F,Sai.pa@carnationmail.com,0810427887,Thai Tea,2006-09-17,2022-01-08,platinum,2024-11-08 08:53:00,52.0,178.0,27285.0
17,Willow,F,Willow.bl@rosemail.com,0641346573,Yuzu Tea,1971-10-11,2022-01-08,platinum,2024-12-02 15:16:00,28.0,171.0,27360.0
18,Axel,M,Axel.cs@carnationmail.com,0818267052,Thai Tea,1987-02-24,2022-01-09,platinum,2024-11-19 17:20:00,41.0,165.0,24845.0
19,Tucker,M,Tucker.ix@lilymail.com,0686240870,Yuzu Tea,1976-08-04,2022-01-09,platinum,2024-10-30 13:04:00,61.0,189.0,31010.0
20,Jaa,F,Jaa.el@daffodilmail.com,0837742246,Yuzu Tea,1988-11-05,2022-01-10,platinum,2024-02-05 18:21:00,329.0,151.0,26995.0
21,Fahfaah,F,Fahfaah.zt@lilymail.com,0939721431,Bubble Tea,1997-12-12,2022-01-10,platinum,2024-12-03 09:38:00,27.0,187.0,33360.0
22,Oak,M,Oak.li@rosemail.com,0878845761,Yuzu Tea,1972-01-01,2022-01-11,platinum,2024-03-06 08:19:00,299.0,151.0,24805.0
23,Kat,F,Kat.vz@lilymail.com,0934445470,Bubble Tea,1968-07-15,2022-01-12,diamond,2024-12-06 10:20:00,24.0,210.0,31975.0
24,Torrung,F,Torrung.id@daffodilmail.com,0928564582,Bubble Tea,1989-09-26,2022-01-13,platinum,2024-12-16 17:54:00,14.0,182.0,30375.0
25,Pun,M,Pun.st@rosemail.com,0689579851,Bubble Tea,1999-07-28,2022-01-13,diamond,2024-12-02 18:45:00,28.0,203.0,35750.0
26,Aim,F,Aim.sp@sunflowermail.com,0904565901,Bubble Tea,1971-12-12,2022-01-13,platinum,2024-12-09 12:31:00,21.0,163.0,24815.0
27,Marina,F,Marina.os@lilymail.com,0936660573,Thai Tea,1992-06-06,2022-01-13,platinum,2024-12-18 09:05:00,12.0,197.0,31470.0
28,Am,F,Am.xu@irismail.com,0921315366,Bubble Tea,1988-07-23,2022-01-14,platinum,2024-11-28 15:36:00,32.0,182.0,32115.0
29,Pam,F,Pam.dp@dahlia.com,0698625230,Bubble Tea,1999-03-19,2022-01-14,platinum,2024-07-29 16:00:00,154.0,174.0,26090.0
30,Egbert,M,Egbert.xj@rosemail.com,0675526112,Bubble Tea,1976-10-25,2022-01-14,platinum,2024-10-16 08:44:00,75.0,178.0,27785.0
